date time unix_time bits_sent
2022-11-19 10:36:15 1668854175 12112
2022-11-19 10:33:15 1668853995 13032
2022-11-19 10:30:15 1668853815 15304
2022-11-19 10:27:15 1668853635 12416
2022-11-19 10:24:15 1668853455 12440
2022-11-19 10:21:15 1668853275 12240
2022-11-19 10:18:15 1668853095 15816
2022-11-19 10:15:15 1668852915 12032
2022-11-19 10:12:15 1668852735 12544
2022-11-19 10:09:15 1668852555 12128
2022-11-19 10:06:15 1668852375 15856
2022-11-19 10:03:15 1668852195 15792
2022-11-19 10:00:15 1668852015 12240
2022-11-19 09:57:15 1668851835 12136
2022-11-19 09:54:15 1668851655 16128
2022-11-19 09:51:15 1668851475 11952
2022-11-19 09:48:15 1668851295 12584
2022-11-19 09:45:15 1668851115 11904
2022-11-19 09:42:15 1668850935 16176
2022-11-19 09:39:15 1668850755 12072
2022-11-19 09:36:15 1668850575 11456
2022-11-19 09:33:15 1668850395 13280
2022-11-19 09:30:15 1668850215 14968
2022-11-19 09:27:15 1668850035 12104
2022-11-19 09:24:15 1668849855 12224
2022-11-19 09:21:15 1668849675 12320
2022-11-19 09:18:16 1668849496 12648
2022-11-19 09:15:15 1668849315 15312
2022-11-19 09:12:16 1668849136 12504
2022-11-19 09:09:15 1668848955 11864
2022-11-19 09:06:15 1668848775 12176
2022-11-19 09:03:15 1668848595 19752
2022-11-19 09:00:15 1668848415 11888
2022-11-19 08:57:15 1668848235 12440
2022-11-19 08:54:15 1668848055 11984
2022-11-19 08:51:15 1668847875 16136
2022-11-19 08:48:15 1668847695 12080
2022-11-19 08:45:15 1668847515 11904
2022-11-19 08:42:15 1668847335 12680
2022-11-19 08:39:15 1668847155 15536
2022-11-19 08:36:15 1668846975 12400
2022-11-19 08:33:15 1668846795 12472
2022-11-19 08:30:16 1668846616 141760
2022-11-19 08:27:15 1668846435 15952
2022-11-19 08:24:15 1668846255 12216
2022-11-19 08:21:15 1668846075 12280
2022-11-19 08:18:16 1668845896 12456
2022-11-19 08:15:15 1668845715 15608
2022-11-19 08:12:15 1668845535 12424
2022-11-19 08:09:16 1668845356 12160
2022-11-19 08:06:15 1668845175 12064
2022-11-19 08:03:15 1668844995 16368
2022-11-19 08:00:15 1668844815 15384
2022-11-19 07:57:15 1668844635 12272
2022-11-19 07:54:15 1668844455 12088
2022-11-19 07:51:16 1668844276 12688
2022-11-19 07:48:15 1668844095 15656
2022-11-19 07:45:15 1668843915 11472
2022-11-19 07:42:16 1668843736 12608
2022-11-19 07:39:16 1668843556 12104
2022-11-19 07:36:15 1668843375 15712
2022-11-19 07:33:15 1668843195 12176
2022-11-19 07:30:15 1668843015 12312
2022-11-19 07:27:15 1668842835 12304
2022-11-19 07:24:15 1668842655 15688
2022-11-19 07:21:15 1668842475 12736
2022-11-19 07:18:15 1668842295 12144
2022-11-19 07:15:15 1668842115 12424
2022-11-19 07:12:15 1668841935 15920
2022-11-19 07:09:15 1668841755 12232
2022-11-19 07:06:15 1668841575 12184
2022-11-19 07:03:15 1668841395 16000
2022-11-19 07:00:15 1668841215 15856
2022-11-19 06:57:16 1668841036 12272
2022-11-19 06:54:15 1668840855 12096
2022-11-19 06:51:15 1668840675 12432
2022-11-19 06:48:15 1668840495 11888
2022-11-19 06:45:16 1668840316 16280
2022-11-19 06:42:15 1668840135 12640
2022-11-19 06:39:15 1668839955 11448
2022-11-19 06:36:15 1668839775 12280
2022-11-19 06:33:16 1668839596 15992
2022-11-19 06:30:15 1668839415 12048
2022-11-19 06:27:15 1668839235 12344
2022-11-19 06:24:16 1668839056 11976
2022-11-19 06:21:15 1668838875 16056
2022-11-19 06:18:15 1668838695 12232
2022-11-19 06:15:15 1668838515 12112
2022-11-19 06:12:15 1668838335 12376
2022-11-19 06:09:15 1668838155 15872
2022-11-19 06:06:15 1668837975 12360
2022-11-19 06:03:15 1668837795 15464
2022-11-19 06:00:15 1668837615 12520
2022-11-19 05:57:15 1668837435 15696
2022-11-19 05:54:15 1668837255 11944
2022-11-19 05:51:15 1668837075 12808
2022-11-19 05:48:15 1668836895 12048
2022-11-19 05:45:15 1668836715 12672
2022-11-19 05:42:15 1668836535 15392
2022-11-19 05:39:15 1668836355 12480
2022-11-19 05:36:15 1668836175 12184
2022-11-19 05:33:15 1668835995 12280
2022-11-19 05:30:16 1668835816 16192
2022-11-19 05:27:16 1668835636 12016
2022-11-19 05:24:15 1668835455 12280
2022-11-19 05:21:15 1668835275 12464
2022-11-19 05:18:15 1668835095 15936
2022-11-19 05:15:16 1668834916 12104
2022-11-19 05:12:15 1668834735 12448
2022-11-19 05:09:16 1668834556 12104
2022-11-19 05:06:15 1668834375 16112
2022-11-19 05:03:16 1668834196 15368
